Name,Team,Type,National Side,Born,Age,Bowling,Batting Style,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jofra Archer,MI,All-Rounder ,England,"April 1, 1995 Bridgetown, Barbados","26 Years, 11 Months, 15 Days",Right-arm fast,Right Handed,IPL,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryakumar Yadav,MI,Batsman ,India,"September 14, 1990 Mumbai, Maharashtra","31 Years, 6 Months, 1 Days",Right-arm medium,Right Handed,IPL,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieron Pollard,MI,All-Rounder ,West Indies,"May 12, 1987 Tacarigua, Trinidad","34 Years, 10 Months, 4 Days",Right-arm medium,Right Handed,IPL,178,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewald Brevis,MI,Batsman ,South Africa,"April 29, 2003 Johannesburg","18 Years, 10 Months, 17 Days",Leg break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Sams,MI,All-Rounder ,Australia,"October 27, 1992 Milperra, New South Wales","29 Years, 4 Months, 19 Days",Left-arm fast medium,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilak Varma,MI,All-Rounder ,India,"November 8, 2002 Hyderabad, Andhra Pradesh","19 Years, 4 Months, 7 Days",Off break,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murugan Ashwin,MI,Bowler ,India,"September 8, 1990 Chennai, Tamil Nadu","31 Years, 6 Months, 7 Days",Leg break googly,Right Handed,IPL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tymal Mills,MI,Bowler ,England,"August 12, 1992 Dewsbury, Yorkshire","29 Years, 7 Months, 3 Days",Left-arm fast,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaydev Unadkat,MI,Bowler ,India,"October 18, 1991 Porbandar","30 Years, 4 Months, 29 Days",Left-arm medium,Right Handed,IPL,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Meredith,MI,Bowler ,Australia,"June 21, 1996 Hobart, Tasmania","25 Years, 8 Months, 24 Days",Right-arm fast,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian Allen,MI,All-Rounder ,West Indies,"May 7, 1995 Kingston, Jamaica","26 Years, 10 Months, 9 Days",Slow left-arm orthodox,Right Handed,IPL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayank Markande,MI,Bowler ,India,"November 11, 1997 Bathinda, Punjab","24 Years, 4 Months, 4 Days",Leg break,Right Handed,IPL,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanjay Yadav,MI,All-Rounder ,India,"May 10, 1995 Gorakhpur, Uttar Pradesh","26 Years, 10 Months, 6 Days",Slow left-arm orthodox,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,MI,Bowler ,India,"September 11, 1993 Ernakulam, Kerala","28 Years, 6 Months, 4 Days",Right-arm fast medium,Right Handed,IPL,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjun Tendulkar,MI,All-Rounder ,India,"September 24, 1999 Mumbai","22 Years, 5 Months, 22 Days",Left-arm medium fast,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
